FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE
0.1,A,38.431889,-120.549269,6,20051103,20051103,6005.0,20051103
0.1,A,38.446161,-120.660281,6,19990822,19990822,6005.0,19990822
0.1,A,38.344592,-120.667425,6,20071019,20071019,6005.0,20071019
0.1,A,38.390842,-120.673244,6,20051103,20051103,6005.0,20051103
0.2,A,38.446161,-120.660281,6,19990822,19990822,6005.0,19990822
0.2,A,38.47555,-120.548839,6,20010528,20010528,6005.0,20010528
3.0,B,38.55055556,-120.385,6,20080926,20080926,6005.0,20080926
0.4,B,38.431169,-120.752589,6,19990822,19990822,6005.0,19990822
0.3,B,38.47555,-120.548839,6,20040523,20040523,6005.0,20040523
0.1,A,38.59916667,-120.10805556,6,20070829,20070829,6005.0,20070829
0.2,A,38.52027778,-120.17444444,6,20071031,20071031,6005.0,20071031
0.1,A,38.58694444,-119.90527778,6,20070829,20070829,6005.0,20070829
1.0,B,38.41975,-120.5934,6,20060712,20060712,6005.0,20060712
1.0,B,38.432019,-120.641789,6,20020723,20020723,6005.0,20020723
0.2,A,38.503669,-120.7896,6,19990809,19990809,6005.0,19990809
0.3,B,38.4469,-120.585981,6,20001022,20001022,6005.0,20001022
0.2,A,38.433889,-120.973139,6,19990528,19990528,6005.0,19990528
0.1,A,38.93472222,-120.71972222,6,20080811,20080811,6005.0,20080811
2.0,B,38.445639,-120.752711,6,20020923,20020923,6005.0,20020923
3.6,B,38.44275,-120.540486,6,20070809,20070809,6005.0,20070809
1.0,B,38.489089,-120.585669,6,20020904,20020904,6005.0,20020904
0.1,A,38.56694444,-120.45055556,6,20080921,20080921,6005.0,20080921
0.1,A,38.5469,-120.825139,6,19990608,19990608,6005.0,19990608
4.0,B,38.54975,-120.848836,6,20071017,20071017,6005.0,20071017
0.1,A,38.461139,-120.586081,6,20020906,20020906,6005.0,20020906
1.0,B,38.496869,-120.828928,6,20070603,20070603,6005.0,20070603
0.05,A,38.57972222,-120.495,6,20070530,20070530,6005.0,20070530
0.1,A,38.302231,-120.881481,6,20040615,20040615,6005.0,20040615
0.1,A,38.417581,-120.641989,6,20000815,20000815,6005.0,20000815
1.0,B,38.460611,-120.511831,6,20001019,20001019,6005.0,20001019
35.0,C,38.54685,-120.843581,6,20020909,20020911,6005.0,20020909
0.1,A,38.402931,-120.642089,6,20020726,20020726,6005.0,20020726
5.0,B,38.431169,-120.752589,6,20010821,20010821,6005.0,20010821
0.8,B,38.541781,-120.847836,6,20070902,20070902,6005.0,20070902
0.3,B,38.431119,-120.73415,6,19990511,19990511,6005.0,19990511
0.1,A,38.499328,-120.608486,6,20070626,20070626,6005.0,20070626
0.1,A,38.489089,-120.585669,6,19990428,19990428,6005.0,19990428
0.1,A,38.388469,-120.6429,6,20010525,20010525,6005.0,20010525
0.25,A,38.53333333,-120.3,6,20070614,20070614,6005.0,20070614
0.04,A,38.54027778,-120.51694444,6,20071103,20071103,6005.0,20071103
0.1,A,38.489089,-120.585669,6,20021120,20021120,6005.0,20021120
0.5,B,38.431069,-120.715331,6,19980806,19980806,6005.0,19980806
15.0,C,38.313503,-120.720517,6,20060823,20060823,6005.0,20060823
0.1,A,38.503669,-120.7896,6,20020705,20020705,6005.0,20020705
0.1,A,38.3304,-120.75265,6,20001118,20001118,6005.0,20001118
0.5,B,38.432281,-120.604611,6,20010107,20010107,6005.0,20010107
0.1,A,38.417869,-120.604689,6,19980804,19980804,6005.0,19980804
0.1,A,38.4311,-120.696989,6,19990703,19990703,6005.0,19990703
2.0,B,38.445469,-120.696811,6,19990318,19990318,6005.0,19990318
0.1,A,38.50138889,-120.20222222,6,20081026,20081026,6005.0,20081026
0.5,B,38.460489,-120.660481,6,19980902,19980902,6005.0,19980902
1.0,B,38.60972222,-119.9825,6,20070801,20070804,6005.0,20070801
0.1,A,38.388039,-120.624689,6,19980803,19980803,6005.0,19980803
0.1,A,38.316381,-120.7159,6,19990703,19990703,6005.0,19990703
0.1,A,38.60194444,-120.25083333,6,20081026,20081026,6005.0,20081026
0.1,A,38.402931,-120.642089,6,19990703,19990703,6005.0,19990703
0.1,A,38.278222,-120.870753,6,20060825,20060825,6005.0,20060825
0.1,A,38.387931,-120.678981,6,20010107,20010107,6005.0,20010107
0.2,A,38.475511,-120.84415,6,19990701,19990701,6005.0,19990701
1.5,B,38.446289,-120.641769,6,19990822,19990822,6005.0,19990822
0.1,A,38.51833333,-120.11777778,6,20060627,20060627,6005.0,20060627
0.3,B,38.54685,-120.843581,6,20001119,20001119,6005.0,20001119
0.1,A,38.446161,-120.660281,6,20021016,20021016,6005.0,20021016
20.0,C,38.2587,-120.863339,6,20020815,20020815,6005.0,20020815
0.8,B,38.4599,-120.6227,6,19990623,19990623,6005.0,19990623
0.1,A,38.446161,-120.660281,6,19990624,19990624,6005.0,19990624
0.2,A,38.431811,-120.53075,6,20010525,20010525,6005.0,20010525
0.1,A,38.387931,-120.678981,6,19990421,19990421,6005.0,19990421
0.1,A,38.446239,-120.530531,6,19990626,19990626,6005.0,19990626
2.0,B,38.40275,-120.604881,6,20000918,20000918,6005.0,20000918
0.3,B,38.387931,-120.678981,6,19990421,19990421,6005.0,19990421
1.0,B,38.431119,-120.73415,6,19990629,19990629,6005.0,19990629
0.1,A,39.11888889,-119.935,6,20020817,20020817,6005.0,20020817
2.0,B,38.446711,-120.845539,6,20040627,20040627,6005.0,20040627
1.5,B,38.69888889,-120.12361111,6,20070728,20070728,6005.0,20070728
1.0,B,38.547444,-120.829453,6,20050830,20050830,6005.0,20050830
0.1,A,38.488286,-120.618731,6,20060604,20060604,6005.0,20060604
0.1,A,38.473103,-120.62565,6,20060928,20060928,6005.0,20060928
1.0,B,38.417869,-120.604689,6,19990622,19990623,6005.0,19990622
0.1,A,38.475489,-120.623211,6,20030624,20030624,6005.0,20030624
0.1,A,38.54638889,-120.35777778,6,20060603,20060603,6005.0,20060603
0.1,A,38.388039,-120.624689,6,19980905,19980905,6005.0,19980905
0.2,A,38.502589,-120.604681,6,20040606,20040606,6005.0,20040606
