,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1896,0.3,B,38.804861,-120.904881,6,19990909,19990909,6017.0,19990909,254,14,96,0,2.801422,73.0
1897,0.5,B,38.93555556,-120.68472222,6,20080825,20080825,6017.0,20080825,211,122,163,0,2.8408551,64.0
1898,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1899,10.0,C,38.7217,-120.9322,6,20090625,20090625,6017.0,20090625,213,111,156,0,3.3590748,78.75
1900,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1901,0.1,A,38.9675,-120.38472222,6,20080911,20080911,6017.0,20080911,205,95,143,0,0.84581965,60.0
1902,0.1,A,38.707461,-120.900161,6,20040903,20040903,6017.0,20040903,155,4,101,0,5.715568,68.0
1903,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1904,0.4,A,38.76722222,-119.98555556,6,19990910,19990912,6017.0,19990910,179,77,117,0,2.2689676,73.0
1905,0.1,A,38.78361111,-119.95138889,6,19990911,19990911,6017.0,19990911,200,77,125,0,1.7351105,73.0
1906,0.1,A,38.9833,-120.9833,6,20051125,20051125,6017.0,20051125,39,-69,-7,102,2.6400843,69.0
1907,0.1,A,38.684019,-120.989494,6,20070321,20070321,6017.0,20070321,68,-3,28,25,5.172174,103.0
1908,0.1,A,38.93638889,-120.0275,6,20090622,20090622,6017.0,20090622,165,1,94,0,3.4970388,127.5
1909,0.1,A,38.78527778,-120.13333333,6,20010821,20010821,6017.0,20010821,234,1,102,0,3.5908885,70.0
1910,0.1,A,39.00138889,-120.30694444,6,20040912,20040912,6017.0,20040912,187,117,144,0,2.8675516,66.333
1911,0.1,A,38.91666667,-119.95194444,6,20030914,20030914,6017.0,20030914,191,55,111,0,0.4554174,77.0
1912,0.4,B,38.86916667,-120.01777778,6,20010616,20010616,6017.0,20010616,272,6,139,0,2.2758987,144.0
1913,0.1,A,38.813319,-120.901097,6,20050419,20050419,6017.0,20050419,63,-42,4,25,4.38563,108.0
1914,0.1,A,39.04972222,-120.11361111,6,20080913,20080913,6017.0,20080913,199,61,127,0,0.23431945,75.25
1915,0.1,A,38.88277778,-120.12555556,6,20070905,20070906,6017.0,20070905,187,-3,99,0,3.9070098,94.25
1916,0.1,A,38.88472222,-120.38416667,6,20080913,20080913,6017.0,20080913,199,61,127,0,0.23431945,75.25
1917,0.3,B,38.831411,-120.848981,6,20020513,20020513,6017.0,20020513,169,-21,72,0,3.0121257000000004,172.0
1918,0.1,A,38.80194444,-119.98555556,6,20000810,20000810,6017.0,20000810,165,37,106,0,3.2617192000000004,81.0
1919,4.0,B,38.77666667,-120.52055556,6,20080418,20080419,6017.0,20080418,106,-9,46,0,2.0193646,176.0
1920,0.1,A,38.649069,-120.844369,6,20030715,20030715,6017.0,20030715,216,146,182,0,3.589434,56.0
1921,0.1,A,38.717058,-121.008289,6,20071114,20071114,6017.0,20071114,149,-13,34,0,2.2192335,68.0
1922,0.1,A,38.748739,-120.919181,6,20040410,20040410,6017.0,20040410,150,-33,61,0,1.86077,206.0
1923,0.3,B,38.688986,-120.990517,6,20050712,20050712,6017.0,20050712,300,72,189,0,3.7001185,106.0
1924,0.1,A,38.735697,-120.607419,6,20051119,20051119,6017.0,20051119,101,-52,7,0,3.1402733,69.0
1925,0.1,A,38.662861,-120.787319,6,19990909,19990909,6017.0,19990909,254,14,96,0,2.801422,73.0
1926,0.1,A,38.920339,-120.978231,6,20040410,20040410,6017.0,20040410,150,-33,61,0,1.86077,206.0
1927,0.1,A,38.676856,-120.979753,6,20070529,20070529,6017.0,20070529,177,53,112,0,1.0599045,121.0
1928,1.5,B,38.920089,-120.942239,6,20030810,20030810,6017.0,20030810,267,33,150,0,2.3360012,83.0
1929,3.0,B,38.82555556,-120.72638889,6,20090121,20090121,6017.0,20090121,91,-12,30,0,3.0228012000000004,74.0
1930,0.1,A,38.692839,-120.993881,6,20010711,20010711,6017.0,20010711,202,96,143,0,2.9132235,99.0
1931,0.1,A,38.757669,-120.589581,6,20020526,20020526,6017.0,20020526,154,55,95,0,2.7026622,154.0
1932,13.8,C,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1933,1.0,B,38.56025,-120.678669,6,19990909,19990909,6017.0,19990909,254,14,96,0,2.801422,73.0
1934,0.3,B,38.86916667,-120.01777778,6,20010616,20010616,6017.0,20010616,272,6,139,0,2.2758987,144.0
1935,0.1,A,38.80277778,-120.27277778,6,20071006,20071006,6017.0,20071006,73,-97,-3,0,2.4329777000000004,86.25
1936,0.1,A,38.707281,-120.975369,6,19980709,19980709,6017.0,19980709,263,57,151,0,3.2400672000000004,147.0
1937,1.0,B,38.804581,-120.886719,6,19990909,19990909,6017.0,19990909,254,14,96,0,2.801422,73.0
1938,0.3,B,38.605161,-120.825639,6,20020528,20020528,6017.0,20020528,173,45,110,0,1.0846221,154.0
1939,1.0,B,38.633889,-120.825489,6,19990908,19990908,6017.0,19990908,246,105,169,0,1.1243196000000002,73.0
1940,0.1,A,38.88166667,-120.07305556,6,20080801,20080801,6017.0,20080801,261,57,168,0,3.0870917,51.0
1941,3.0,B,38.98388889,-120.75805556,6,20090406,20090406,6017.0,20090406,134,-54,27,0,1.9275094,136.0
1942,0.1,A,38.904881,-120.868361,6,20020507,20020507,6017.0,20020507,144,-11,67,0,4.589645,172.0
1943,0.5,B,38.834119,-120.960319,6,20041016,20041016,6017.0,20041016,202,-11,67,0,3.1590016,54.0
1944,0.01,A,38.98444444,-120.33444444,6,20070710,20070711,6017.0,20070710,253,131,172,0,2.4580145,80.0
1945,0.5,B,38.91388889,-120.52666667,6,20041016,20041016,6017.0,20041016,202,-11,67,0,3.1590016,54.0
1946,0.1,A,38.82777778,-120.23583333,6,20060721,20060722,6017.0,20060721,223,144,175,0,1.9448649,94.75
1947,1.0,B,38.6763,-120.657831,6,20011110,20011110,6017.0,20011110,122,10,56,0,3.0040846,58.0
1948,0.3,B,38.890931,-120.923819,6,20041014,20041014,6017.0,20041014,203,48,105,0,2.1840258,54.0
1949,1.3,B,38.647669,-120.657961,6,20031108,20031108,6017.0,20031108,48,-11,17,51,4.6685524,62.0
1950,0.3,B,38.677239,-120.806619,6,20000706,20000706,6017.0,20000706,162,42,100,0,3.1534905,98.0
1951,0.5,B,38.905464,-120.917531,6,20060427,20060427,6017.0,20060427,132,47,91,0,3.837092,59.75
1952,0.1,A,38.89388889,-120.03222222,6,20000707,20000707,6017.0,20000707,170,62,104,0,3.5431848,98.0
1953,0.2,A,38.71916667,-120.00222222,6,20010917,20010918,6017.0,20010917,228,17,122,0,1.4431276000000002,67.0
1954,1.0,B,38.647361,-120.639669,6,20030813,20030813,6017.0,20030813,224,122,164,0,2.6744149,83.0
1955,0.1,A,38.619589,-120.750319,6,20010916,20010916,6017.0,20010916,172,39,90,0,2.795085,67.0
1956,0.1,A,38.659608,-120.969056,6,20070506,20070506,6017.0,20070506,120,-1,67,0,4.2596836,138.0
1957,0.4,B,38.891081,-120.8864,6,20000708,20000708,6017.0,20000708,203,-5,93,0,3.3142164,98.0
1958,0.1,A,38.65416667,-120.245,6,20090530,20090530,6017.0,20090530,166,83,119,0,2.7018485,118.0
1959,7700.0,G,38.78,-120.26,6,20041013,20041017,6017.0,20041013,145,63,103,0,3.3293915000000003,54.0
1960,0.1,A,38.8675,-119.95138889,6,20000708,20000709,6017.0,20000708,203,-5,93,0,3.3142164,98.0
1961,1.0,B,38.919019,-120.904689,6,20031111,20031111,6017.0,20031111,45,-37,-3,0,2.9025786,62.0
1962,0.1,A,38.87888889,-120.33388889,6,20080520,20080520,6017.0,20080520,162,19,111,0,3.7346163,156.0
1963,1.0,B,38.692839,-120.993881,6,20030611,20030611,6017.0,20030611,158,60,105,0,3.7308068,150.0
1964,1.0,B,38.790619,-120.941889,6,20000429,20000429,6017.0,20000429,127,-64,27,0,2.4517777,188.0
1965,0.1,A,39.03833333,-120.07,6,20040711,20040712,6017.0,20040711,215,96,153,0,2.3846138,113.5
1966,0.1,A,38.690639,-120.694661,6,20000704,20000704,6017.0,20000704,161,26,87,0,4.3278370000000015,126.0
1967,0.3,B,38.790689,-121.035311,6,20011101,20011101,6017.0,20011101,144,-50,50,0,1.6546898999999995,67.0
1968,0.1,A,38.687592,-120.995753,6,20071128,20071128,6017.0,20071128,107,-38,32,0,2.5455887,74.0
1969,0.1,A,38.876211,-120.868,6,20030612,20030612,6017.0,20030612,210,-2,108,0,4.063406,150.0
1970,3.0,B,38.72175,-120.938311,6,20031029,20031029,6017.0,20031029,172,50,111,0,3.4205277,62.0
1971,0.1,A,38.773581,-120.791061,6,20010920,20010920,6017.0,20010920,250,22,139,0,1.4068694,60.0
1972,0.1,A,38.692839,-120.993881,6,20010707,20010707,6017.0,20010707,198,117,151,0,2.2377312000000003,144.0
1973,0.1,A,38.605161,-120.825639,6,20000704,20000704,6017.0,20000704,161,26,87,0,4.3278370000000015,126.0
1974,0.1,A,38.697833,-120.990558,6,20070508,20070508,6017.0,20070508,204,2,96,0,0.39661285,138.0
1975,0.1,A,38.90222222,-119.96694444,6,20010703,20010703,6017.0,20010703,308,76,174,0,2.3170877,144.0
1976,0.1,A,38.65138889,-120.18472222,6,20090530,20090530,6017.0,20090530,166,83,119,0,2.7018485,118.0
1977,0.1,A,38.81861111,-120.01888889,6,20010703,20010703,6017.0,20010703,308,76,174,0,2.3170877,144.0
1978,0.3,B,38.9025,-119.9525,6,20010920,20010920,6017.0,20010920,250,22,139,0,1.4068694,60.0
1979,0.1,A,38.9,-119.98333333,6,20000502,20000502,6017.0,20000502,160,32,87,0,1.7174668000000002,188.0
1980,0.5,B,38.88416667,-119.95083333,6,20010919,20010919,6017.0,20010919,258,8,114,0,1.7069917,60.0
1981,0.1,A,38.707581,-120.863011,6,20031101,20031101,6017.0,20031101,12,-140,-89,0,0.88814765,62.0
1982,0.3,B,38.920089,-120.942239,6,20011110,20011110,6017.0,20011110,122,10,56,0,3.0040846,58.0
1983,0.1,A,38.88722222,-119.9775,6,20080714,20080714,6017.0,20080714,223,125,166,0,3.7604387,71.0
1984,0.3,B,38.905519,-120.886361,6,20011110,20011110,6017.0,20011110,122,10,56,0,3.0040846,58.0
1985,0.1,A,38.90027778,-119.98555556,6,20000430,20000508,6017.0,20000430,174,13,77,0,1.2975678,188.0
1986,0.1,A,38.84722222,-120.26361111,6,20060721,20060722,6017.0,20060721,223,144,175,0,1.9448649,94.75
1987,0.1,A,38.74444444,-120.295,6,20070710,20070711,6017.0,20070710,253,131,172,0,2.4580145,80.0
1988,0.1,A,38.83388889,-120.11805556,6,20080902,20080902,6017.0,20080902,199,57,131,0,2.1781597,49.0
1989,1.0,B,38.822175,-120.845178,6,20070505,20070505,6017.0,20070505,40,-33,6,25,3.830261,138.0
1990,0.1,A,38.8896,-120.830519,6,20040710,20040710,6017.0,20040710,232,54,151,0,2.9119453,113.5
1991,6.0,B,38.707161,-121.049939,6,20000709,20000709,6017.0,20000709,179,24,102,0,3.0438447,98.0
1992,0.3,B,38.93027778,-120.11027778,6,20060624,20060625,6017.0,20060624,252,148,187,0,1.2041683,113.0
1993,0.6,B,38.88444444,-119.93444444,6,20030722,20030723,6017.0,20030722,321,73,171,51,3.4848828000000003,56.0
1994,0.1,A,38.62277778,-120.25527778,6,20070824,20070824,6017.0,20070824,269,66,159,0,1.595245,65.0
1995,0.1,A,38.741392,-120.909744,6,20070521,20070521,6017.0,20070521,149,6,84,0,5.207533,72.25
1996,1.0,B,38.664081,-120.93855,6,20000711,20000711,6017.0,20000711,226,100,151,0,2.6695702,98.0
1997,0.1,A,38.75,-120.53333333,6,20040710,20040710,6017.0,20040710,232,54,151,0,2.9119453,113.5
1998,0.1,A,38.78361111,-120.21722222,6,20060721,20060722,6017.0,20060721,223,144,175,0,1.9448649,94.75
1999,0.1,A,38.93416667,-120.0,6,20030722,20030722,6017.0,20030722,321,73,171,51,3.4848828000000003,56.0
2000,0.3,B,38.591264,-120.600244,6,20050314,20050314,6017.0,20050314,56,-56,0,0,5.0650067000000005,115.0
2001,6.0,B,38.598308,-120.788256,6,20070521,20070521,6017.0,20070521,149,6,84,0,5.207533,72.25
2002,0.1,A,38.64835,-120.82585,6,20000711,20000711,6017.0,20000711,226,100,151,0,2.6695702,98.0
2003,1.0,B,38.888822,-120.908,6,20070521,20070521,6017.0,20070521,149,6,84,0,5.207533,72.25
2004,0.2,A,38.692919,-120.900681,6,20030925,20030925,6017.0,20030925,223,127,165,0,2.2340257,75.0
2005,0.3,B,38.86138889,-120.28194444,6,20070824,20070824,6017.0,20070824,269,66,159,0,1.595245,65.0
2006,0.25,A,38.75083333,-120.53388889,6,20080712,20080712,6017.0,20080712,252,54,150,0,2.4503232999999995,71.0
2007,0.1,A,38.648942,-120.682372,6,20070715,20070715,6017.0,20070715,221,145,176,0,3.1765318,67.0
2008,0.5,B,38.758811,-120.8106,6,20030606,20030606,6017.0,20030606,236,107,153,0,2.3086755,150.0
2009,0.2,A,38.664081,-120.93855,6,20040709,20040709,6017.0,20040709,226,57,163,0,2.9589493,113.5
2010,0.3,B,38.706889,-120.686094,6,20071025,20071025,6017.0,20071025,159,95,120,0,2.2032673,59.0
2011,0.1,A,38.66255,-120.9687,6,20070429,20070429,6017.0,20070429,160,21,97,0,1.3038428,155.0
2012,2.0,B,38.617311,-120.60335,6,20030812,20030812,6017.0,20030812,213,44,126,0,3.3446794,83.0
2013,1.0,B,38.778475,-120.8358,6,20070927,20070927,6017.0,20070927,157,81,110,0,0.76576895,59.0
2014,0.1,A,38.663939,-120.95715,6,20031029,20031029,6017.0,20031029,172,50,111,0,3.4205277,62.0
2015,0.3,B,38.619589,-120.750319,6,20030616,20030616,6017.0,20030616,243,32,140,0,3.8935018,150.0
2016,0.5,B,38.619339,-120.731939,6,20000711,20000711,6017.0,20000711,226,100,151,0,2.6695702,98.0
2017,0.1,A,38.94527778,-120.115,6,20060624,20060624,6017.0,20060624,252,148,187,0,1.2041683,113.0
2018,0.1,A,38.678281,-120.957011,6,20000402,20000402,6017.0,20000402,168,24,72,0,1.1016765,108.0
2019,0.1,A,38.633561,-120.731769,6,20031111,20031111,6017.0,20031111,45,-37,-3,0,2.9025786,62.0
2020,0.1,A,38.86972222,-119.9975,6,20060517,20060517,6017.0,20060517,197,49,125,0,2.2940238,63.75
2021,0.1,A,38.69285,-120.975361,6,20040720,20040721,6017.0,20040720,261,67,167,0,3.2430367,86.0
2022,0.1,A,38.705011,-120.69465,6,20000331,20000331,6017.0,20000331,85,-24,24,0,3.5261402000000004,108.0
2023,0.1,A,38.960889,-120.848761,6,20030722,20030722,6017.0,20030722,321,73,171,51,3.4848828000000003,56.0
2024,106.0,D,38.758639,-120.771531,6,20000331,20000403,6017.0,20000331,85,-24,24,0,3.5261402000000004,108.0
2025,7.0,B,38.647469,-120.694881,6,20030928,20030928,6017.0,20030928,267,17,144,0,1.7713839,75.0
2026,0.1,A,38.692839,-120.993881,6,20030927,20030927,6017.0,20030927,240,125,176,0,1.3462957,75.0
2027,0.1,A,38.905667,-121.013972,6,20060721,20060721,6017.0,20060721,223,144,175,0,1.9448649,94.75
