,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
262,262,262,262,262,262,262,262,262,8455,252.0,D,41.5366,-120.4761,6,19990922,19990923,6049.0,19990922,306,39,172,0,0.43080887,128.0
263,263,263,263,263,263,263,263,263,8456,0.1,A,41.304469,-120.735561,6,20030530,20030603,6049.0,20030530,188,73,126,0,3.4804218,120.667
264,264,264,264,264,264,264,264,264,8457,0.1,A,41.55166667,-121.32333333,6,20080531,20080601,6049.0,20080531,137,47,84,0,1.3184872,259.0
265,265,265,265,265,265,265,265,265,8458,2928.0,F,41.63718,-120.42458,6,19990925,19990927,6049.0,19990925,157,11,81,0,3.086102,128.0
266,266,266,266,266,266,266,266,266,8459,0.2,A,41.3033,-120.1183,6,20090609,20090609,6049.0,20090609,141,52,88,0,1.3398928999999995,131.5
267,267,267,267,267,267,267,267,267,8460,0.1,A,41.5275,-121.57583333,6,20080807,20080810,6049.0,20080807,267,134,187,0,1.7846402,110.0
268,268,268,268,268,268,268,268,268,8461,3.0,B,41.406819,-120.669031,6,19991016,19991016,6049.0,19991016,116,-18,49,0,5.6359296,128.0
269,269,269,269,269,269,269,269,269,8462,0.1,A,41.219461,-121.095819,6,19980820,19980820,6049.0,19980820,202,58,113,0,3.2931006000000003,153.333
270,270,270,270,270,270,270,270,270,8463,0.1,A,41.3725,-121.39638889,6,20090604,20090605,6049.0,20090604,150,50,93,0,1.1510891,145.0
271,271,271,271,271,271,271,271,271,8464,5.0,B,41.219181,-121.210311,6,19991107,19991107,6049.0,19991107,194,-17,89,0,3.9424338,128.0
272,272,272,272,272,272,272,272,272,8465,0.4,A,41.63888889,-120.8025,6,20080621,20080622,6049.0,20080621,190,63,125,0,2.6596687,167.0
273,273,273,273,273,273,273,273,273,8466,0.1,A,41.2466,-120.0811,6,20000813,20000813,6049.0,20000813,245,27,139,0,2.6541445,77.333
274,274,274,274,274,274,274,274,274,8467,0.3,B,41.552381,-120.534711,6,20000815,20000815,6049.0,20000815,256,4,142,0,2.179741,77.333
275,275,275,275,275,275,275,275,275,8468,1.0,B,41.31919,-120.11956,6,20081209,20081209,6049.0,20081209,44,-83,-15,25,2.5457351000000004,73.0
276,276,276,276,276,276,276,276,276,8469,1.5,B,41.66194444,-121.24333333,6,20080627,20080628,6049.0,20080627,233,126,180,0,2.9796827,135.25
277,277,277,277,277,277,277,277,277,8470,0.1,A,41.552319,-120.573369,6,19980727,19980727,6049.0,19980727,287,137,195,0,0.83487475,249.333
278,278,278,278,278,278,278,278,278,8471,0.5,B,41.26777778,-121.00138889,6,20080628,20080701,6049.0,20080628,255,88,162,0,1.0101985,135.25
279,279,279,279,279,279,279,279,279,8472,0.1,A,41.23365,-121.191561,6,19980725,19980725,6049.0,19980725,283,128,206,23,1.3184851,249.333
280,280,280,280,280,280,280,280,280,8473,0.1,A,41.580961,-120.379311,6,20000908,20000908,6049.0,20000908,200,29,111,0,2.980628,78.333
281,281,281,281,281,281,281,281,281,8474,0.1,A,41.2899,-120.5044,6,20020513,20020513,6049.0,20020513,164,12,80,0,2.1587092999999995,215.667
282,282,282,282,282,282,282,282,282,8475,0.75,B,41.30194444,-120.9525,6,20080630,20080701,6049.0,20080630,289,82,189,0,2.7285602000000004,132.0
283,283,283,283,283,283,283,283,283,8476,0.1,A,41.450111,-120.592581,6,19980722,19980722,6049.0,19980722,285,99,171,0,0.67186147,239.667
284,284,284,284,284,284,284,284,284,8477,1.8,B,41.29638889,-120.87777778,6,20080630,20080701,6049.0,20080630,289,82,189,0,2.7285602000000004,132.0
285,285,285,285,285,285,285,285,285,8478,0.1,A,41.56305556,-120.92333333,6,20071031,20071101,6049.0,20071031,128,0,55,0,2.3847165,72.5
286,286,286,286,286,286,286,286,286,8479,1.0,B,41.464519,-120.630361,6,19980722,19980722,6049.0,19980722,285,99,171,0,0.67186147,239.667
287,287,287,287,287,287,287,287,287,8480,0.25,A,41.66,-120.77638889,6,20090929,20090930,6049.0,20090929,101,0,45,0,3.1033685,169.0
288,288,288,288,288,288,288,288,288,8481,3.0,B,41.85138889,-120.75083333,6,20081017,20081018,6049.0,20081017,227,36,120,0,1.9577838,73.0
289,289,289,289,289,289,289,289,289,8482,0.1,A,41.5649,-120.1744,6,20001009,20001009,6049.0,20001009,96,-2,51,51,3.346773600000001,78.333
290,290,290,290,290,290,290,290,290,8483,71.0,C,41.3482,-120.4577,6,20000805,20000805,6049.0,20000805,263,83,164,0,1.8600302,77.333
291,291,291,291,291,291,291,291,291,8484,0.3,B,41.406819,-120.669031,6,19990912,19990912,6049.0,19990912,264,0,135,0,2.7114038,128.0
292,292,292,292,292,292,292,292,292,8485,0.1,A,41.1732,-120.5411,6,20000803,20000803,6049.0,20000803,311,121,219,0,2.876484,77.333
293,293,293,293,293,293,293,293,293,8486,0.1,A,41.317869,-120.503889,6,19980803,19980803,6049.0,19980803,311,62,188,0,2.75443,187.0
294,294,294,294,294,294,294,294,294,8487,0.35,A,41.41111111,-121.12583333,6,20080621,20080621,6049.0,20080621,190,63,125,0,2.6596687,167.0
295,295,295,295,295,295,295,295,295,8488,1.0,B,41.4214,-120.649539,6,20020822,20020822,6049.0,20020822,206,12,98,0,0.5375833999999999,75.0
296,296,296,296,296,296,296,296,296,8489,1.0,B,41.421339,-120.630611,6,20020813,20020813,6049.0,20020813,367,83,228,0,1.7102578000000002,92.667
297,297,297,297,297,297,297,297,297,8490,1.0,B,41.446686,-120.628969,6,20071108,20071108,6049.0,20071108,122,28,65,0,1.6120758,72.5
298,298,298,298,298,298,298,298,298,8491,0.5,B,41.3182,-120.1211,6,20000701,20000701,6049.0,20000701,238,79,163,0,3.464471,118.0
299,299,299,299,299,299,299,299,299,8492,0.3,A,41.41083333,-120.96083333,6,20080621,20080622,6049.0,20080621,190,63,125,0,2.6596687,167.0
300,300,300,300,300,300,300,300,300,8493,0.1,A,41.220281,-120.6571,6,20020718,20020719,6049.0,20020718,252,78,151,0,1.4001473,110.667
301,301,301,301,301,301,301,301,301,8494,0.1,A,40.9811,-121.1958,6,20090421,20090421,6049.0,20090421,185,32,95,0,1.5741006000000002,160.0
302,302,302,302,302,302,302,302,302,8495,0.1,A,41.2749,-120.5227,6,20020717,20020717,6049.0,20020717,255,73,163,0,2.2109697,110.667
303,303,303,303,303,303,303,303,303,8496,20.4,C,41.1482,-120.6577,6,20020714,20020720,6049.0,20020714,356,122,239,0,1.9210632,110.667
304,304,304,304,304,304,304,304,304,8497,0.1,A,41.6666,-120.4577,6,20020713,20020713,6049.0,20020713,329,125,235,0,3.301518,110.667
305,305,305,305,305,305,305,305,305,8498,1.0,B,41.871281,-120.30255,6,19980805,19980805,6049.0,19980805,277,112,192,0,1.0735428,187.0
306,306,306,306,306,306,306,306,306,8499,291.0,D,41.9149,-120.0844,6,20020712,20020713,6049.0,20020712,325,129,212,51,2.2621417,110.667
307,307,307,307,307,307,307,307,307,8500,0.3,A,41.2195,-121.077011,6,20020711,20020711,6049.0,20020711,417,100,261,0,0.22203708,110.667
308,308,308,308,308,308,308,308,308,8501,2.0,B,41.233881,-121.1337,6,20020707,20020710,6049.0,20020707,267,83,178,0,3.7138083,152.0
309,309,309,309,309,309,309,309,309,8502,0.1,A,41.0282,-120.6944,6,20000803,20000804,6049.0,20000803,311,121,219,0,2.876484,77.333
310,310,310,310,310,310,310,310,310,8503,0.1,A,41.798461,-120.36105,6,19980907,19980907,6049.0,19980907,214,80,135,76,2.488236,153.333
311,311,311,311,311,311,311,311,311,8504,0.3,B,41.7896,-120.1913,6,20040324,20040324,6049.0,20040324,51,-9,12,0,2.324185,77.0
312,312,312,312,312,312,312,312,312,8505,0.1,A,41.2306,-120.4614,6,20090629,20090629,6049.0,20090629,272,52,169,0,1.6381112,105.5
313,313,313,313,313,313,313,313,313,8506,0.2,A,41.47444444,-121.43694444,6,20090809,20090809,6049.0,20090809,250,46,152,0,0.45694783,97.0
314,314,314,314,314,314,314,314,314,8507,66.64999999999999,B,41.44055556,-121.11,6,20090801,20090802,6049.0,20090801,270,150,204,0,0.79428977,98.667
315,315,315,315,315,315,315,315,315,8508,2.0,B,41.2199,-120.4127,6,20030831,20030831,6049.0,20030831,333,44,189,0,1.8788279,66.667
316,316,316,316,316,316,316,316,316,8509,25.75,B,41.51666667,-121.21027778,6,20090801,20090804,6049.0,20090801,270,150,204,0,0.79428977,98.667
317,317,317,317,317,317,317,317,317,8510,17.0,C,41.4366,-120.1411,6,20031118,20031120,6049.0,20031118,49,-32,8,25,1.6446923,77.0
318,318,318,318,318,318,318,318,318,8511,36.50000000000001,A,41.79194444,-120.98861111,6,20090731,20090731,6049.0,20090731,269,153,204,0,0.47433683,98.667
319,319,319,319,319,319,319,319,319,8512,0.5,B,41.525,-121.03305556,6,20090801,20090801,6049.0,20090801,270,150,204,0,0.79428977,98.667
320,320,320,320,320,320,320,320,320,8513,62.0,C,41.11694444,-120.7625,6,20090730,20090803,6049.0,20090730,302,75,194,0,1.2163067,98.667
