,fips,county_name,state,to_generate,status,generated_row_count,file_name
444,46083,Lincoln County,SD,0,1.0,0.0,
445,46085,Lyman County,SD,0,1.0,0.0,
446,46087,McCook County,SD,0,1.0,0.0,
447,46089,McPherson County,SD,0,1.0,0.0,
448,46091,Marshall County,SD,0,1.0,0.0,
449,46093,Meade County,SD,0,1.0,29.0,Datasets/merged_tp_precip_wind_fmc_46093_Meade County.csv
450,46095,Mellette County,SD,0,1.0,0.0,
451,46097,Miner County,SD,0,1.0,0.0,
452,46099,Minnehaha County,SD,0,1.0,0.0,
453,46101,Moody County,SD,0,1.0,0.0,
454,46103,Pennington County,SD,0,1.0,0.0,
455,46105,Perkins County,SD,0,1.0,1.0,Datasets/merged_tp_precip_wind_fmc_46105_Perkins County.csv
456,46107,Potter County,SD,0,1.0,0.0,
457,46109,Roberts County,SD,0,1.0,0.0,
458,46111,Sanborn County,SD,0,1.0,0.0,
459,46113,Shannon County,SD,0,1.0,0.0,
460,46115,Spink County,SD,0,1.0,0.0,
461,46117,Stanley County,SD,0,1.0,0.0,
462,46119,Sully County,SD,0,1.0,0.0,
463,46121,Todd County,SD,0,1.0,0.0,
464,46123,Tripp County,SD,0,1.0,0.0,
465,46125,Turner County,SD,0,1.0,0.0,
466,46127,Union County,SD,0,1.0,0.0,
467,46129,Walworth County,SD,0,1.0,0.0,
468,46135,Yankton County,SD,0,1.0,0.0,
469,46137,Ziebach County,SD,0,1.0,0.0,
470,47000,TENNESSEE,,0,1.0,0.0,
471,47001,Anderson County,TN,0,1.0,0.0,
472,47003,Bedford County,TN,0,1.0,0.0,
473,47005,Benton County,TN,0,1.0,0.0,
474,47007,Bledsoe County,TN,0,1.0,0.0,
475,47009,Blount County,TN,0,1.0,0.0,
476,47011,Bradley County,TN,0,1.0,0.0,
477,47013,Campbell County,TN,0,1.0,0.0,
478,47015,Cannon County,TN,0,1.0,0.0,
479,47017,Carroll County,TN,0,1.0,0.0,
480,47019,Carter County,TN,0,1.0,0.0,
481,47021,Cheatham County,TN,0,1.0,0.0,
482,47023,Chester County,TN,0,1.0,0.0,
483,47025,Claiborne County,TN,0,1.0,0.0,
